eV   W/mA     phot/mAs
        789.995    8.65283E-09    6.83634E+07
        794.999    8.82249E-09    6.92650E+07
        800.005    8.99731E-09    7.01955E+07
        804.988    9.17317E-09    7.11246E+07
        810.001    9.32557E-09    7.18587E+07
        814.998    9.46754E-09    7.25054E+07
        820.008    9.60487E-09    7.31077E+07
        824.988    9.73242E-09    7.36314E+07
        829.997    9.85603E-09    7.41165E+07
        835.005    9.97308E-09    7.45469E+07
        839.993    1.00828E-08    7.49195E+07
        845.000    1.01803E-08    7.51958E+07
        850.005    1.02642E-08    7.53691E+07
        854.994    1.03409E-08    7.54889E+07
        859.998    1.04109E-08    7.55577E+07
        864.997    1.04704E-08    7.55503E+07
        870.000    1.05138E-08    7.54277E+07
        874.998    1.05618E-08    7.53393E+07
        880.003    1.05968E-08    7.51591E+07
        885.011    1.06257E-08    7.49374E+07
        889.998    1.06504E-08    7.46907E+07
        894.995    1.06709E-08    7.44168E+07
        900.010    1.06864E-08    7.41092E+07
        905.003    1.06975E-08    7.37770E+07
        909.990    1.07004E-08    7.33930E+07
        915.005    1.06892E-08    7.29138E+07
        919.993    1.06500E-08    7.22528E+07
        919.993    1.40506E-08    9.53235E+07
        929.997    1.36159E-08    9.13805E+07
        939.991    1.33850E-08    8.88759E+07
        949.991    1.31415E-08    8.63409E+07
        960.004    1.29233E-08    8.40215E+07
        970.004    1.27825E-08    8.22495E+07
        979.989    1.25832E-08    8.01416E+07
        989.994    1.24115E-08    7.82493E+07
        1000.00    1.21525E-08    7.58497E+07
        1009.99    1.18736E-08    7.33764E+07
        1020.00    1.15562E-08    7.07140E+07
        1030.00    1.11818E-08    6.77584E+07
        1040.00    1.07955E-08    6.47886E+07
        1050.00    1.03891E-08    6.17560E+07
        1059.99    9.95853E-09    5.86382E+07
        1069.99    9.50824E-09    5.54638E+07
        1080.00    9.03961E-09    5.22414E+07
        1090.00    8.56443E-09    4.90413E+07
        1100.01    8.07240E-09    4.58033E+07
        1109.99    7.62755E-09    4.28899E+07
        1120.01    7.20137E-09    4.01313E+07
        1129.99    6.78045E-09    3.74519E+07
        1140.00    6.38478E-09    3.49566E+07
        1150.01    6.00434E-09    3.25876E+07
        1160.02    5.64044E-09    3.03486E+07
        1170.00    5.29372E-09    2.82401E+07
        1180.00    4.96267E-09    2.62496E+07
        1190.00    4.63903E-09    2.43316E+07
        1200.01    4.32086E-09    2.24737E+07
        1210.00    4.01611E-09    2.07162E+07
        1220.01    3.71863E-09    1.90244E+07
        1229.99    3.43397E-09    1.74255E+07
        1239.99    3.15986E-09    1.59052E+07
